text;label
 non muslim coblos ahok muslim coblos djarot bagaimana;Non_HS
 pemimpin harus dapat ciptakan suasana damai tentram dan bukan adu domba atau hasutan;Non_HS
saya bertanya kepada bapak presiden dan kapolri ok oce tuh apaan ;Non_HS
keliatan banget keberpihakan media ;Non_HS
rt bagus nih ilustrasinya ;Non_HS
rt ahok terlalu keren ;Non_HS
isinya timeline twitter cm pilkada membosankan sekali;Non_HS
mohon tenang mohon tenang ;Non_HS
ah diulang jawabannya bisa beda kan ;Non_HS
perasaan bukan pertanyaan itu deh yg td dijawab om audionya ga keluar atau ia ya ;Non_HS
boleh tinggal di pinggir kali meski bukan tanahnya boleh jualan di pinggir jalan;Non_HS
rt sehatkan warga dki melalui barulah pembangunan dapat sejahterakan warganya ;Non_HS
kalau kamu diputuskan pacar tanpa sebab mungkin program oke oce bisa jadi solusi nya ;Non_HS
melibatkan yang paham pada bidangnya untuk duduk bersama memecahkan solusi cara kepemimpinan yg cerdas ;Non_HS
justru lakilaki lah yang sering mengalami kekerasan verbal berapa kali dirimu dimarahi istrimu ayo ngaku;Non_HS
rt soal gerakangerakan ala ;Non_HS
mayoritas warga jakarta ingin dipimpin gubernur baru emang iya ;Non_HS
paslon selalu nyerang paslon ni ;Non_HS
rt upaya aniessandi untuk mendukung perempuan menjadi pelaku ukm ;Non_HS
salah satu indikator meningkatnya kualitas hidup warga jkt adl terus bisa tersenyum seperti pak djarot malam ini;Non_HS
tontonan yg wajib ditunggu sehabis ;Non_HS
rt pak ahok penyandang disabilitas bukan hanya mereka suatu saat kita juga bisa jadi ;Non_HS
rt saat jeda ahok dan djarot sapa ganjar pranowo dari atas panggung;Non_HS
 sayang hyung cuma pencitraan wkwk;Non_HS
 msh inget sm ibu penjual kue di balaikota cm pak ahok yg tau klo si ibu sakit ibu itu langsung diurus ke rs ini bukan pencitraan;Non_HS
biar jajan naik sejuta ;Non_HS
bio gw belum diganti astagfirullah rusak pencitraan cewe cantik;Non_HS
 ya ampun udh closing statement msh aja commentnya ky gitu ya;Non_HS
hah uda closing statement cepet bener ;Non_HS
rt kali ini kerenbiasanya ada sesi tanyajawab kali ini ada sesi curhat;Non_HS
ketiga paslon gagal menjawab pertanyaan yang jawabannya harus memuji kebaikan paslon lain;Non_HS
mari berjuang bersama sbyudhoyono utk memenangkan di ;Non_HS
jikapun aparatur bisa dibeli kyai dan santri oplosan dibeli masih ada yng asli siap melawan ketidakadilan ;Non_HS
pasangan mana yang unggul dalam debat kandidat gubernurwagub dki jakarta malam ini;Non_HS
keberagaman itu datang dr hati terdalam bukan dr pencitraan ;Non_HS
membangun bangsa dan negara ini engga cukup dengan metoda pencitraan saja tanpa teruji lewat rekam jejak dan integritas tokohnya;Non_HS
rt bersikap baik dan menjaga prilaku di depan umum bukan berarti pencitraan bukan pula menjadi orang lain;Non_HS
rt saat jujur ada yg curiga saat berbuat baik ada yg menuduh pencitraan saat bahagia ada yg iri abaikan;Non_HS
umat islam yg peduli agama mrk tentu tdk akan tergoda dg trik konyol seperti ini inshaallah umat islam sdh sadar ;Non_HS
 nanies baswedan tak lagi memiliki integritas dan kredibilitas sebagai seorang pemimpin ;Non_HS
 apakah perlu semua berita ahok harus menggunakan penista agama misalnya penista agama sedang kampanye di jakarta pusat;Non_HS
 apakah tidak sadis jika semua berita tentang ahok judulnya diawali degan terdakwa penista agama bukan menggunakan nama;Non_HS
 kemarin kan ada berita tentang penyakit mengingitis dari babi mksd gw apa nyambungnya sama ahok;Non_HS
 artis korea bisa world tour ahmad dhani bisa ;Non_HS
 ahok di jakarta daging babi di bali apa hubungan nya ya;Non_HS
ahmad dhani bangkrut ditagih utang melalui video mantan istrinya jadi janda kaya raya hampir setahun berlalu ;Non_HS
ahmad dhani sentil ahok eh sandiaga uno cengar cengir melalui ;Non_HS
hehhee makanya jangan mengagumi sesorng berlebihan kecuali kepada rasulullah ;Non_HS
 acara uda abis menurut kalian debat sapa yang betulbetul memaparkan prog dan solusi;Non_HS
mereka koruptor meletakkan kitab suci ditempat paling rendahtapi masih sok jadi pemilik kapling surga ;Non_HS
rt woww dukungan rakyat palestina ke ahok yg dituduhsbg penista agama mrk mengelukan ahok ahok is the best ;Non_HS
pencitraan di socmed itu bolehboleh aja tapi harus bisa tanggung jawab sama citra yang udh dibikin jangan sampe jadi malumaluin kasian;Non_HS
rt kasus kicauan ahmad dhani dilimpahkan ke polres metro jakarta selatan ;Non_HS
rt komplit bgt yaaaa heran nya msh aja yg percaya dan idolain dia ;Non_HS
rt bagaimana keadilan bisa tercipta jika si penista agama belum di vonis penjaran ;Non_HS
rt bro kalau yg dimaksud fatwa penista agama mui gak pernah mengeluarkan fatwa ;Non_HS
rt sidang hari ini makin menguatkan bahwa ahok bukan penista agama ada yang bisa bantah n;Non_HS
sebut ahok bukan akademisi ahmad dhani secara intelektual lebih intelek bang anies ;Non_HS
yg melakukan penista agama sesungguhnya agama yg suci digunakan alat untuk mengejar jabatan kekuasaan ;Non_HS
kalah di pilkada bekasi ahmad dhani jadi juru kampanye pasangan aniessandi ;Non_HS
 bravo closing statement anies malam inikalau nggak ada debat saya nggak mungkin nonton mata najwa sdh lama tdk suka;Non_HS
 jawaban terakhir anis jadi bikin ingat jawaban dia pas debat kemarin jawaban anda menarik tapi tidak nyambung;Non_HS
 buzzer ahok lagi kerja keras nihayo kerja tar gajian ga turun;Non_HS
 kerendahan hati dan lawan kerendahan hati kelihatan banget;Non_HS
 kok gaya pak kayak sby ya;Non_HS
 kenyataannya si anis nyaman bgt dgn isu sara kok kan nguntungin anis pura sok bijak pdhl menikmati isu sara ;Non_HS
 nyesel liat debat tidak bermutu cuma bisa mencela;Non_HS
 saya tdk rela punya gub seorg anies dan sy percaya ahok akan menang salam jari;Non_HS
 ahoker panas dingin ahok kalah debat sama anis ;Non_HS
ada yg tahu ga backsound penutup mata najwa ini siapa musisinya dan apa judulnya ;Non_HS
 p ahok apapun hanya utk rakyat p anies tkt dicurangi ngerti bedanya;Non_HS
 mantapppp mata najwa diskusi lebih hidup dan mendidik jauh berkualitas di banding debat yg selenggarakan kpu;Non_HS
 mbak najwaayo ketengah lagi sedikitjgn terlihat ke kiri dgn meminta terus pak anies cpt menyelesaikan kalimatnya;Non_HS
dan soal soal ributribut pribumi vs non pribumi yang ramai di beranda saya itu sebenarnya maksudnya apa ikut;Non_HS
sedih liat pak anies saat ini tokoh yang dulu saya kagumi kenapa jadi seperti ini ;Non_HS
awal sp akhir bisanya cm serang pribadi gak ada program yg perlu dibanggakan ;Non_HS
gimana nih om pasti ikut gedeg juga kan dengerin retorika ga ada wawasan tapi gimana udah terlanjur ya ;Non_HS
haduhhhh pak anies terus pendukung anda yang didatengin ke jakarta itu dari mana pak dari luar jakarta kan ;Non_HS
haha anies pendemo dr jawa barat kok ga ngomen takut kalah ya haha ;Non_HS
 pak uno habis m istrinya ga marah ya pak saya mo beli sepatu rb aja istri saya marah pak;Non_HS
 jangan suka menyerang ini bukan perang mengapa ingin ibadah harus menyerang orang;Non_HS
 paslon serang terus dengan membawa hal yg biasa menyerang tp paslon tenang menjawabnya;Non_HS
aahhh akuh sedih akuh org depok ternyata ngga boleh ke jakarta pak manies jahattttt ;Non_HS
 saludd utk mata najwa berbobot sekali perdebatan malam ini;Non_HS
jadilah orang yang bertanggung jawab atas segala tindakan anda dengan demikian anda akan menuai hal yang positif ;Non_HS
menurut anda apakah dugaan penistaan agama dgn terdakwa murni isyu pilkada dki jakarta atau murni demi islam;Non_HS
semua kejujuran akan mendapatkan pahala dari surga sabar ya pak basuki ;Non_HS
jadilah orang yang bertanggung jawab atas segala tindakan anda dengan demikian anda akan menuai hal yang positif ;Non_HS
 terima kasih telah memberikan pendidikan demokrasi pada rakyat indonesia khususnya jakarta;Non_HS
keberagaman itu datang dr hati terdalam bukan dr pencitraan ;Non_HS
membangun bangsa dan negara ini engga cukup dengan metoda pencitraan saja tanpa teruji lewat rekam jejak dan integritas tokohnya;Non_HS
jangan ada keberpihakan dalam badan hukum karena itu akan merusak demokrasi ;Non_HS
jika lo bisa menceritakan kembali kalimat yg dilontarkan anies di dgn bahasa lo sendiri lo luar biasa ;Non_HS
kalau liat sosmed pak ahok menang telak namun sayang hanya katakata manis lah yg diserap bbrp warga kecil ;Non_HS
seharusnya mah basuki sudah bebas ya kan ;Non_HS
kenapa debat ini ahok makin keliatan diatas angin ya kliatan dia sangat menguasai problem solusi tata kelola jakarta;Non_HS
kalau lihat ahok itu kayak lihat power rangers merah;Non_HS
kesimpulan ahok spt biasa fokus detail ke program anies terlalu fokus menjatuhkan lawan ;Non_HS
pertunjukan yang sangat membuat saya serius dan gak mau diganggu selamat untuk pak buat gagasan nya ;Non_HS
jangan berpihakmelayani rakyat dengan sepenuh hatituhan yang memberi kekuasaan tuhan yang mengambilahok;Non_HS
pak ahok jangan blunder dong pakdari tadi udah bagus pertanyaannya komitmen menerima hasil kontestasi ;Non_HS
jangan ada keberpihakan dalam badan hukum karena itu akan merusak demokrasi ;Non_HS
jika lo bisa menceritakan kembali kalimat yg dilontarkan anies di dgn bahasa lo sendiri lo luar biasa ;Non_HS
kenapa debat ini ahok makin keliatan diatas angin ya kliatan dia sangat menguasai problem solusi tata kelola jakarta;Non_HS
kiranya jakarta semakin baik selamat berjuang buat pak ahok dan pak anies ;Non_HS
masihkah ahoker debat soal program jlebb ko kena uppercut anies soal kjp pergubnya blm di rubah ;Non_HS
rt semua penganut agama harus dapet hak yang sama ahok ;Non_HS
aku heran kenapa ilklan kampanye yg terbaru itu begitu ini aku loh yang bingung bkn akuangasiang atau aming ;Non_HS
abis nyoblos streaming video perkembangan pilkada pake dari kuota ga habis deh;Non_HS
muslim sedang diuji di negara yg mayoritas islamsemoga kita smua bisa bersabar dan menahan utk tidak berbicara kasar sbg balasan;Non_HS
kiranya jakarta semakin baik selamat berjuang buat pak ahok dan pak anies ;Non_HS
rt pak anies inget apa yg kau tabur itu yang akan kau tuai nanti jadi takut sendiri ;Non_HS
rt bagaimana metode penarikan sampel hitung cepat yg dilakukan litbang kompas dlm pilkada dki jakarta simak disini;Non_HS
mnding diem aja pak semua pergerakanmu pasti disalahkan klo wktunya menang ntar jga menang ;Non_HS
rt perbincangan menarik di quick count pilkada bersama ;Non_HS
bersyukur menutup kampanye hari ini dengan berdoa agar pilkada dki jakarta pada februari berjalan dengan lancar;Non_HS
julia perez kecewa gagal nyoblos pilkada dki di tps rscm ;Non_HS
disediakan ambulans untuk pasien mencoblos pada pilkada dki ;Non_HS
rt saya bertanya apakah saya memang tak boleh ikut pilkada apakah saya kehilangan hak saya yg dijamin konstitusi;Non_HS
ya allah anis dan sandi bakal jadi gubernur dki jakarta terpilih di tahun ini;Non_HS
domisili gue di jakpus belabelain ke tps yg berlokasi di jakbar dgn bermodal ektp buat ikutan pilkada ;Non_HS
rt presiden menggunakan hak suaranya untuk pilkada dki jakarta di tps gambir jakarta pusat ;Non_HS
rt agree pak kekuasaan itu tuhan yang kasih walau dijatuhkan tuhan akan menaikkan ;Non_HS
rt akibat nila setitik rusak susu sebelangga akibat mulut oknum tak terdidik rusak juga persatuan bangsa ;Non_HS
mudahmudahan novel baswedan tidak alami kebutaan pada matanya kalau sampai buta saya siap mendonorkan mata saya untuk dia;Non_HS
mengapa mereka melakukan ini apakah bisa merubah keadaan bagi para pemilih nanti ;Non_HS
rt siapa yg salah ahok iklannya bukan yang perlu diprotes adalah orang yg benar pake spanduk itu ;Non_HS
sampe sekarang gue blm ngerti dp rumah itu gmn skemanya trs emg ada ya perbankan yg mau ngasih kredit rumah gak pakai dp ;Non_HS
 bagi anies gubernur adalah pemimpin bukan administratur pelayan masyarkt padahal melayani mencerminkan integritas;Non_HS
kalimat penutup anies ambisius ahok minta maaf karakter tidak bisa bohong ;Non_HS
pertunjukan yang sangat membuat saya serius dan gak mau diganggu selamat untuk pak buat gagasan nya ;Non_HS
rt kami tdk akan terprovokasi dgn sentimen dan jualan sara mu itu karena kami cinta indonesia ;Non_HS
semakin umat di suguhkan maka akan semakin terlihat siapa yang menebar kebencian terhadap kerukunan antar umat beragama;Non_HS
hampir semua polling anies sandi yang menang semoga hari h nya juga demikian ;Non_HS
rt yg iklankan kampanye ahox adalah yg sama sebarin spanduk syariah dan brosur black campaign ;Non_HS
oke oce akan menjadi brand dimana semuanya menjadi oke oce bahkan nanti ada kampung oke oce ;Non_HS
rt sungguh sgt mengherankan mengkampanyekan kebhinekaan tp dengan menyebarkan islamophobia kebhinekaan yg mana yg dimaksud;Non_HS
debat final pilkada dki jakarta siapa yang gagap dan siapa yang tepat menjawab adjat sudradjat;Non_HS
jika persoalan pemimpin hanya dikaitkan dengan lisan maka apa bedanya gubernur dengan anakanak ;Non_HS
cerita djarot ini diharapkan membuat para pendukung tetap berdamai ;Non_HS
cuman mau bilang sama yang serius banget ngetweet pakai hastag gitu aja baper;Non_HS
ira koesno didekati aniessandi lalu marahi pendukung paslon saat debat pilkada dki;Non_HS
alhamdulillah ya allah swt semoga jakarta punya gubernur baru yg lebih bersahaja bersahabat utk semuanya ;Non_HS
jelang larut semalam diskusi dengan aktifis golkar tingkat kelurahan siap bergabung dalam pemenangan ;Non_HS
rt sosok anies sandi harus diakui sgt mengayomi sangat kompeten utk membangun kerukukan kebhinekaan di jakarta;Non_HS
rt ngomong manis memang gampang giliran kerja bingung ;Non_HS
 april adalah saat yang penting bagi warga jakarta untuk menentukan masa depan ibukota;Non_HS
rt terimakasih pak anies pemaparantentang dp memberi solusi bagi warga jakarta yang ingin punya rumah dan tidak nyewa terus;Non_HS
yang aku perhatikan tim mas sibuk ngoceh tentang dan programnya kenapa gak ngurus diri sendiri;Non_HS
kalo pilih gubernur yg jujur kerja nyataanti korupsitegaspintermlyani rakyat iklas peduli pilih ahok djarot;Non_HS
rt bisa merangkul dan menegakkan hukum kepemimpinan itu hadir dengan memberikan contoh perbuatan ;Non_HS
hasil kerja ahok djarot sungai di jakarta kembali normal bersih dan enak dipandang;Non_HS
ahok anies sama baiknya kok sama bagusnya sama okenya siapa yg kepilih yg menang tetap rakyat jakarta;Non_HS
semoga pak basuki bisa jadi presidenagar indonesia lebih maju;Non_HS
allah swt tdk butuh anda tapi anda yang butuh allahrezeki hidup matimu allah yg tentukan mau khianati allah yakin gak nyesel ;Non_HS
 dilanjutkan dengan rekaman yang memuat kampanye ahok di dpp nasdem dan juga pulau seribu ;Non_HS
rt ahok harus bebas demi hukum demi keadilan demi kelanjutan perbaikan dki semoga hakim mmpunyai sense of justice;Non_HS
pembangkit listrik tenaga panas bumi terbesar dunia ;Non_HS
rt dan toleransi itu ketika muslim bisa menjalankan perintah agamanya dan non muslim juga bisa menjalankan agamanya;Non_HS
rt walaupun artinya teman setia seharusnya lebih dihindari kalau jd pemimpin;Non_HS
semua kejujuran akan mendapatkan pahala dr surga ;Non_HS
seharusnya mah basuki sudah bebas ya kan ;Non_HS
rt itu sidang apa drama korea sampe kali lagi menunggu sidang ahok season nih kayaknya goblin mah kalah pamornya;Non_HS
menurut anda transportasi online manakah dikatakan tarif murah aman nyaman melayani ;Non_HS
nelayan jakarta sudah disiapin pulau khusus oleh pemda dki ;Non_HS
adakah potensi radikalisme di pilgub dki jakarta ;Non_HS
rt siaran ulang malam ini saksikan yuk di ;Non_HS
cuma org yg salah saja yg takut dgn doa ituanda salah kenapa takut bertobatlah sebelum doa itu dinyatakan;Non_HS
selamat pagi met aktifitas happy weekend semoga kita jadi orang jujur biar hidup slalu mujur aamiin ;Non_HS
ahok dituntut tahun penjara kemungkinan akan divonis bebas masalahnya warga dki terlanjur kehilangan pemimpin terbaik ;Non_HS
alhamdulillah tuntutan jaksa hanya tahun masa percobaan tahun yg artinya sbnrnya jaksa mengakui kalo ahok itu tak bersalah ;Non_HS
kalah atau menang terimakasih krn banyak ngasih pelajaran bagaimana kerja keras utk rakyat dgn bersih;Non_HS
pilkada serentak megawati hanya minta jangan ada intimidasi dan politik uang ;Non_HS
 saat aniessandiaga minta doa ustaz untuk debat pilkada ;Non_HS
jangan pernah lelah mengabdi untuk indonesia pak ;Non_HS
 jika menang anies siap rangkul paslon lain jika menang dalam kontestasi pilkada ;Non_HS
 tnipolri bersinergi jaga keamanan jelang pilkada dki tni dan polri terus bersin ;Non_HS
 bismillah inshaa allah agus sylvi menang pilkada dki putaran dan jadi pemimpin yg amanah dan mencintai rakyat jakarta;Non_HS
trima kasih pak uda bikin jakarta lebih baik selama bapak menjabat;Non_HS
 sikap yang jelas dan tegas demi ketertiban dan keamanan ibu kota negara menjelang pilkada dki jakarta;Non_HS
rencana tuhan lebih baik dari rencana manusia mungkin ahok bs bekerja kebih baik di posisi lain;Non_HS
walau kalah tp aku tetap merasa terhormat mendukung badja ;Non_HS
basuki tp ahok wawancara informal dengan wartawan balaikota ;Non_HS
terimakasih pak ahok karena kita memang siap kalah dan selamat buat gubernur baru;Non_HS
lucu yuk melihat ahok promosikan musik dangdut kepada tamu mancanegara;Non_HS
minggu tenang pilkada ahok fokus kerja di balai kota peresmianperesmian rptra csr ditunda;Non_HS
mantab ahok dan pemprov dki jakarta terjunkan alat berat untuk keruk sampah di waduk pluit;Non_HS
pagi ini polrestro bekasi gelar pasukan pilkada ;Non_HS
pak saya hanya bantu menyampaikan sbg orang di sekitar pak ahok bisa menyampaikan ke beliau ;Non_HS
pak ahok kalau anda jadi gubernur jangan lupa anda harus bangun provinsi jambi buat lahan petani semua dan jln kreta api jambi riau lampung;Non_HS
partai nasdem optimis menang di pilkada serentak ;Non_HS
biar kalah tetap bangga sabar n iklas menerima nya masih bnyak jabatan lain untuk pak ahok ;Non_HS
sabar n iklas ya pak apa pun hasil nya kita tetap dukung di mna punjabatn apa pun yg bpk emban nanti ;Non_HS
wlaupun kita tak kenalsaya yakini slama ini kamu tlah bkerja kras tuk sebuah nilai yg diperjuangkan;Non_HS
rt kita mgk bs mendukung dia dlm hal kejujuran dan niat baik utk melayani warga tapi gantiin dia dlm hal pekerjaan;Non_HS
puluhan personel brimob nunukan diberangkatkan amankan pilkada di dua provinsi;Non_HS
 sing sabar pak simpen energi bapak untuk bagian lain indonesia gusti allah mboten sare pak;Non_HS
karena saya memilih dengan sehat maka saya kompensasikan dengan sarapan pagi yang uhm secara umum gak sehat impas;Non_HS
rt mahfud md heran uu pemda sangat jelas tapi mendagri keukeuh pertahankan ahok;Non_HS
rt tuips ibu sinta nuriyah tidak pernah mengeluarkan pernyataan terkait pilkada dki;Non_HS
rt lebih tambah jatuh hati deh jadinya tak bisa berpaling ke pilihan yg lain tetap ke pak ahok djarotlah yg terbaik;Non_HS
rt yoi yang jelas pemenagnya itu hanya satu pasang calon buka dua apa lagi tiga dan memiliki peluang yg sama;Non_HS
rt aksi tampaknya akan diubah jadi zikir pilkada sejauh yg saya tahu zikir adalah ibadah dekatkan diri ke allah;Non_HS
rt janganlah karena pilkada dan kepentingan politik sesaat persahabatan dan persaudaraan kita terputus kita adalah saudara;Non_HS
rt pilkada di beltim di kampung sendiri ahok hanya suara di babel kalah telak pilkada di dki paling cuma suara;Non_HS
rt ya allah beneran pak ahok akhirnya samperin si emak;Non_HS
terimakasih pak untuk tahunnya tahun sbg wakil gubernur tahun sbg gubernur;Non_HS
rt kesimpulannya tuips mari kita menangkan agus sylvi satu putaran gak perlu pakai putaran segala cuma habiskan waktu;Non_HS
dan selamat atas kemenangannya untuk bapak anies sandi semoga jakarta bisa bersatu lagi;Non_HS
bangga masih memiliki putra bangsa seperti pak basuki dan pak jarot;Non_HS
tementemen apapun pilihannya masih ada kehidupan setelah pilkada mari saling merangkul saatnya jakarta maju dan bahagia bersama;Non_HS
selamat atas status barunya pak semangat ya pak semoga semua sesuai dengan janjinya;Non_HS
pak ahok tetep semangat yaaa saya akan selalu menghargai kerja keras bapak dan saya ucapkan selamat atas kemenangan paslon nomor yaitu ;Non_HS
terima kasih pak ahok pak djarot kami bangga perna di pimpin sama bapak berduatetap semangatsukses terus pak;Non_HS
terima kasih pak ahokdjarot telah bersama kami beberapa tahun ini;Non_HS
rt sumarsono gaya pak ahok yg kerja keras patut dicontoh dan itu bagus;Non_HS
rt klo semua mau jujur dan pake hati nurani ahok adlh yg terbaik buat jakarta gubernur yg jujur dan benar perhatian pd warga;Non_HS
pak ahok the best aku salut sama pak orang nya sabar dengan cobaan dari tuhan pak ahok is the best;Non_HS
rt makasih pak ahok sudah ajarkan kami makna peduli sama rakyat andai di masa depan saya dpt kesempatan;Non_HS
